dummy,pct_outliers,pct_normais,diferenca
ta,6.08,0.14,5.94
status_FINALIZADA (SEM RESOLUÇÃO),10.64,4.75,5.88
abertura_marco,11.59,17.41,-5.83
abertura_fevereiro,21.46,15.66,5.8
botao,6.32,0.75,5.57
defeito_constatado_BARULHO AO CENTRIFUGAR,8.5,3.07,5.43
centrifugacao,5.7,0.38,5.32
compra_novembro,12.3,7.1,5.2
travar,7.17,1.97,5.2
fabric_outubro,14.96,9.78,5.17
defeito_constatado_NÃO BATE,4.04,9.15,-5.12
nao_giro,5.46,0.38,5.08
status_FINALIZADA (PAGAMENTO BLOQUEADO),20.7,25.68,-4.97
fechamento_abril,10.21,15.08,-4.87
fabric_fevereiro,1.28,5.85,-4.57
pedido_abril,18.85,14.37,4.48
fechamento_junho,6.22,10.58,-4.36
fabric_abril,10.97,6.61,4.36
nao_agitar,0.43,4.62,-4.2
modelo_LCA 11,6.13,2.01,4.12
centrifugo,4.37,0.26,4.11
vazar,5.98,1.9,4.08
compra_setembro,1.14,5.03,-3.89
nao_centrifugo,1.14,5.02,-3.88
pedido_marco,6.74,10.6,-3.86
nao_sair,5.27,1.47,3.81
aberta,19.47,23.22,-3.75
centrifugar,4.51,0.76,3.75
vazamento,4.27,7.99,-3.72
defeito_constatado_MANÍPULO TRAVADO,5.41,1.72,3.69
rachar,5.03,1.34,3.69
compra_junho,4.89,8.55,-3.66
baixo,4.94,1.32,3.62
aguo,14.53,10.99,3.54
parte,3.85,0.41,3.44
fabric_maio,2.85,6.08,-3.24
fechamento_fevereiro,17.14,13.93,3.21
processo,3.47,0.34,3.13
compra_agosto,3.04,6.16,-3.12
maquino,3.42,0.54,2.88
dentro,3.09,0.21,2.88
status_FINALIZADA,49.19,46.35,2.84
lavagem,3.18,0.37,2.81
nao_funcionar,2.8,5.55,-2.75
abertura_junho,9.97,12.68,-2.71
finalidade_REVENDEDOR,11.59,8.9,2.69
fabric_setembro,12.68,10.0,2.68
pedido_junho,11.25,8.6,2.65
tomar,2.85,0.26,2.59
fabric_janeiro,4.04,6.6,-2.57
ciclo,2.8,0.25,2.55
linha_SEMI AUTOMÁTICA,34.9,32.39,2.51
compra_maio,6.41,8.88,-2.47
lavadora,2.66,0.23,2.43
estranho,2.85,0.42,2.43
encaixar,2.61,0.2,2.42
cliente,2.71,0.3,2.41
fabric_julho,5.84,8.24,-2.4
so,2.56,0.23,2.33
sair,3.13,0.89,2.25
tampa,4.65,2.41,2.24
status_FINALIZADA (CANCELADA PELO FABRICANTE),10.49,12.73,-2.23
defeito_constatado_NÃO AGITA,2.99,5.16,-2.17
modelo_MULTILINHAS,9.83,12.0,-2.17
fechamento_janeiro,9.26,7.26,2.0
defeito_constatado_NÃO DRENA,0.14,2.1,-1.96
foto,2.18,0.26,1.93
anexo,2.56,0.7,1.86
parar,3.04,1.22,1.81
desligar,2.28,0.47,1.81
tanquinho,2.04,0.24,1.8
comecar,1.95,0.22,1.73
nao_drenar,0.09,1.78,-1.69
fabric_novembro,6.93,8.61,-1.68
defeito_constatado_VAZAMENTO DE ÁGUA,3.51,1.85,1.66
nao_fazer,1.95,0.35,1.6
trar,1.85,0.29,1.56
fechamento_marco,11.4,12.89,-1.5
timer,1.71,0.22,1.49
lavar,1.71,0.24,1.47
defeito_constatado_NÃO SAI ÁGUA,1.95,0.51,1.44
defeito_constatado_PROBLEMA ESTÉTICO,4.42,5.84,-1.43
