mes_referencia,Cod_produto,Realizado,Forecast,Erro_Absoluto,MAPE,MAE,RMSE,Bias,SMAPE,Desvio_M3,Desvio_M6,Desvio_M12
2024-01,120001925,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001926,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001927,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001928,0.0,787.0,787.0,0.0,787.0,1665.2741143346389,787.0,2.0,0.0,0.0,0.0
2024-01,120001929,0.0,788.0,788.0,0.0,788.0,1665.2741143346389,788.0,2.0,0.0,0.0,0.0
2024-01,120001930,0.0,787.0,787.0,0.0,787.0,1665.2741143346389,787.0,2.0,0.0,0.0,0.0
2024-01,120001931,0.0,568.0,568.0,0.0,568.0,1665.2741143346389,568.0,2.0,0.0,0.0,0.0
2024-01,120001932,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001933,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001934,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001935,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001936,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001937,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001938,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001943,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001947,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001949,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001950,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001951,798.0,743.0,55.0,0.06892230576441102,55.0,1665.2741143346389,-55.0,0.07138221933809215,0.06892230576441102,0.06892230576441102,0.06892230576441102
2024-01,120001952,159.0,281.0,122.0,0.7672955974842768,122.0,1665.2741143346389,122.0,0.5545454545454546,0.7672955974842768,0.7672955974842768,0.7672955974842768
2024-01,120001953,1253.0,792.0,461.0,0.3679169992019154,461.0,1665.2741143346389,-461.0,0.4508557457212714,0.3679169992019154,0.3679169992019154,0.3679169992019154
2024-01,120001955,200.0,0.0,200.0,1.0,200.0,1665.2741143346389,-200.0,2.0,1.0,1.0,1.0
2024-01,120001956,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001957,223.0,255.0,32.0,0.14349775784753363,32.0,1665.2741143346389,32.0,0.13389121338912133,0.14349775784753363,0.14349775784753363,0.14349775784753363
2024-01,120001958,100.0,0.0,100.0,1.0,100.0,1665.2741143346389,-100.0,2.0,1.0,1.0,1.0
2024-01,120001959,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001960,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001966,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001967,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001968,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001969,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001970,131.0,317.0,186.0,1.4198473282442747,186.0,1665.2741143346389,186.0,0.8303571428571429,1.4198473282442747,1.4198473282442747,1.4198473282442747
2024-01,120001971,487.0,773.0,286.0,0.5872689938398358,286.0,1665.2741143346389,286.0,0.45396825396825397,0.5872689938398358,0.5872689938398358,0.5872689938398358
2024-01,120001972,77.0,246.0,169.0,2.1948051948051948,169.0,1665.2741143346389,169.0,1.0464396284829722,2.1948051948051948,2.1948051948051948,2.1948051948051948
2024-01,120001973,385.0,569.0,184.0,0.4779220779220779,184.0,1665.2741143346389,184.0,0.3857442348008386,0.4779220779220779,0.4779220779220779,0.4779220779220779
2024-01,120001974,175.0,357.0,182.0,1.04,182.0,1665.2741143346389,182.0,0.6842105263157895,1.04,1.04,1.04
2024-01,120001975,751.0,1086.0,335.0,0.44607190412782954,335.0,1665.2741143346389,335.0,0.3647250952640174,0.44607190412782954,0.44607190412782954,0.44607190412782954
2024-01,120001977,438.0,478.0,40.0,0.091324200913242,40.0,1665.2741143346389,40.0,0.08733624454148471,0.091324200913242,0.091324200913242,0.091324200913242
2024-01,120001978,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001979,991.0,1000.0,9.0,0.009081735620585268,9.0,1665.2741143346389,9.0,0.009040683073832245,0.009081735620585268,0.009081735620585268,0.009081735620585268
2024-01,120001980,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001986,2856.0,5172.0,2316.0,0.8109243697478992,2316.0,1665.2741143346389,2316.0,0.5769805680119582,0.8109243697478992,0.8109243697478992,0.8109243697478992
2024-01,120001987,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001988,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001989,2955.0,3107.0,152.0,0.05143824027072758,152.0,1665.2741143346389,152.0,0.050148465852853846,0.05143824027072758,0.05143824027072758,0.05143824027072758
2024-01,120001990,100.0,100.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001992,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001993,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001994,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001995,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001996,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001997,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001999,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002000,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002002,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002011,511.0,889.0,378.0,0.7397260273972602,378.0,1665.2741143346389,378.0,0.54,0.7397260273972602,0.7397260273972602,0.7397260273972602
2024-01,120002012,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002013,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002014,514.0,569.0,55.0,0.10700389105058365,55.0,1665.2741143346389,55.0,0.10156971375807941,0.10700389105058365,0.10700389105058365,0.10700389105058365
2024-01,120002015,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002016,30.0,100.0,70.0,2.3333333333333335,70.0,1665.2741143346389,70.0,1.0769230769230769,2.3333333333333335,2.3333333333333335,2.3333333333333335
2024-01,120002017,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002018,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002019,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002021,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002022,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002023,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002027,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002028,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002029,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002030,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002032,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120002033,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
